Timestamp,Status,Skor Fokus
2026-01-08 10:03:21,IMG_UPLOAD: Berbicara Dengan Penumpang,15
2026-01-08 10:05:42,IMG_UPLOAD: Menelfon,15
2026-01-08 10:05:52,IMG_UPLOAD: Menelfon,15
2026-01-08 10:06:02,IMG_UPLOAD: Aman,95
2026-01-08 10:09:04,IMG: Menoleh Ke Belakang,15
2026-01-08 10:09:14,IMG: Menoleh Ke Belakang,15
2026-01-08 10:09:28,IMG: Menoleh Ke Belakang,15
2026-01-08 10:19:28,IMG: Menoleh Ke Belakang,15
2026-01-08 10:19:41,IMG: Aman,95
2026-01-08 10:22:06,IMG: Menelfon,15
2026-01-08 10:22:20,IMG: Aman,95
2026-01-08 10:22:30,IMG: Aman,95
2026-01-08 10:30:44,IMG: Aman,95
2026-01-08 10:33:15,IMG: Minum,15
2026-01-08 10:33:40,IMG: Menelfon,15
2026-01-08 10:34:10,IMG: Menelfon,15
2026-01-08 10:34:52,IMG: Menelfon,15
2026-01-08 10:35:04,IMG: Menoleh Ke Belakang,15
2026-01-08 10:35:23,IMG: Berbicara Dengan Penumpang,15
2026-01-08 10:35:59,IMG: Chatting,15
2026-01-08 10:36:12,IMG: Menelfon,15
2026-01-08 10:38:59,IMG: Menelfon,15
2026-01-08 10:39:52,IMG: Menelfon,15
2026-01-08 10:43:03,IMG: Aman,95
2026-01-08 10:43:12,IMG: Menelfon,15
2026-01-08 10:43:23,IMG: Aman,95
2026-01-08 10:44:42,IMG: Menelfon,15
2026-01-08 10:44:53,IMG: Minum,15
2026-01-08 10:45:07,IMG: Menoleh Ke Belakang,15
2026-01-08 10:47:45,IMG: Aman,95
2026-01-08 10:47:51,IMG: Menelfon,15
2026-01-08 10:48:04,IMG: Aman,95
2026-01-08 10:58:50,IMG: Menelfon,20
2026-01-08 11:11:21,IMG: Menoleh Ke Belakang,15
2026-01-08 11:32:06,IMG: Berbicara Dengan Penumpang,20
2026-01-08 11:32:16,IMG: Aman,95
2026-01-08 11:32:38,IMG: Menelfon,20
2026-01-08 11:32:53,IMG: Chatting,20
2026-01-08 11:33:04,IMG: Minum,20
2026-01-08 11:33:19,IMG: Menoleh Ke Belakang,20
2026-01-08 11:33:28,IMG: Berbicara Dengan Penumpang,20
2026-01-08 11:34:36,IMG: Aman,95
2026-01-08 11:36:58,IMG: Minum,20
2026-01-08 11:37:19,IMG: Aman,95
2026-01-08 11:37:28,IMG: Minum,20
2026-01-08 11:37:39,IMG: Aman,95
2026-01-08 11:37:53,IMG: Menelfon,20
2026-01-08 11:38:19,IMG: Aman,95
2026-01-08 11:38:28,IMG: Aman,95
2026-01-08 11:38:37,IMG: Aman,95
2026-01-08 11:38:52,IMG: Menoleh Ke Belakang,20
2026-01-08 11:39:42,IMG: Chatting,20
2026-01-08 11:40:53,IMG: Aman,95
2026-01-08 11:41:07,IMG: Aman,95
2026-01-08 11:44:33,Minum,91
2026-01-08 11:44:38,Aman,94
2026-01-08 11:55:41,IMG: Berbicara Dengan Penumpang,20
2026-01-08 11:56:28,IMG: Menelfon,20
2026-01-08 11:56:39,IMG: Menelfon,20
2026-01-08 11:56:52,IMG: Aman,95
2026-01-08 11:59:22,VIDEO: Berbicara Dengan Penumpang,20
2026-01-08 12:06:54,Menoleh Ke Belakang,79
2026-01-08 12:06:56,IMG: Aman,95
2026-01-08 12:07:07,IMG: Aman,95
2026-01-08 13:06:38,Chatting,90
2026-01-08 13:06:57,Aman,54
2026-01-08 13:07:01,Chatting,43
2026-01-08 13:07:04,Aman,46
2026-01-08 13:07:27,Chatting,47
2026-01-08 13:07:32,Aman,42
2026-01-08 13:07:56,Chatting,11
2026-01-08 13:08:01,Aman,6
2026-01-08 13:08:22,Chatting,5
2026-01-08 13:08:33,Aman,0
2026-01-08 13:08:52,Chatting,0
2026-01-08 13:09:04,Aman,3
2026-01-08 13:09:10,Chatting,0
